CustomerID	Recency	Frequency	Monetary	R	F	M	RFM_Score	Segment
17969	167	2	228.2	2	2	1	221	hibernating
17551	360	1	306.84	1	1	2	112	hibernating
12931	22	20	33462.810000000005	4	5	5	455	loyal customers
17450	9	53	185453.32999999996	5	5	5	555	champions
14135	2	13	3886.0600000000004	5	5	5	555	champions
12413	67	5	694.1500000000001	3	4	3	343	loyal customers
12673	6	2	610.52	5	2	3	523	potential loyalists
15291	26	19	4267.71	4	5	5	455	loyal customers
17799	23	11	3026.0799999999995	4	5	5	455	loyal customers
12875	144	2	343.2300000000001	2	2	2	222	hibernating
12748	1	200	25661.720000000005	5	5	5	555	champions
15107	312	7	131.65999999999997	1	5	1	151	can not loose
16725	303	7	652.92	1	5	3	153	can not loose
15044	20	22	7629.380000000001	4	5	5	455	loyal customers
17358	304	2	365.84999999999997	1	2	2	122	hibernating
15139	240	2	178.96000000000004	1	2	1	121	hibernating
18260	173	8	2595.0	1	5	5	155	can not loose
16395	61	5	1486.9	3	4	4	344	loyal customers
15422	324	2	97.7	1	2	1	121	hibernating
12417	4	12	3578.8	5	5	5	555	champions
18230	10	9	2723.3500000000004	5	5	5	555	champions
16143	4	6	2064.09	5	4	5	545	champions
12471	3	46	16397.51	5	5	5	555	champions
14415	2	18	5811.5599999999995	5	5	5	555	champions
14441	1	9	1553.64	5	5	4	554	champions
14548	151	2	652.8	2	2	3	223	hibernating
13890	2	14	1860.86	5	5	4	554	champions
14625	186	4	886.13	1	4	3	143	at risk
16353	4	22	6471.710000000001	5	5	5	555	champions
14898	24	6	1157.4199999999998	4	4	4	444	loyal customers
14621	2	6	1765.7599999999998	5	4	4	544	champions
12971	4	86	10662.069999999996	5	5	5	555	champions
12736	333	1	234.00000000000003	1	1	2	112	hibernating
15602	9	14	991.0799999999999	5	5	4	554	champions
17048	116	6	864.3199999999999	2	4	3	243	at risk
14156	10	64	113069.44000000002	5	5	5	555	champions
15535	174	6	472.6499999999999	1	4	3	143	at risk
15046	10	16	5064.01	5	5	5	555	champions
15777	242	5	1021.6099999999999	1	4	4	144	at risk
16409	37	5	2028.8799999999997	3	4	5	345	loyal customers
17404	5	18	30300.819999999996	5	5	5	555	champions
15808	307	4	2703.3200000000006	1	4	5	145	at risk
17796	41	3	583.25	3	3	3	333	need attention
15298	3	13	3376.5	5	5	5	555	champions
17861	4	9	2059.2000000000007	5	5	5	555	champions
14534	3	25	4075.3500000000004	5	5	5	555	champions
14299	9	16	2635.11	5	5	5	555	champions
17526	2	7	479.9000000000001	5	5	3	553	champions
16782	11	17	1876.5	5	5	4	554	champions
14426	19	16	3918.899999999999	4	5	5	455	loyal customers
16037	270	3	855.0200000000001	1	3	3	133	at risk
14309	9	10	2319.6800000000003	5	5	5	555	champions
16034	197	3	437.69999999999993	1	3	2	132	at risk
17690	31	12	4060.5499999999997	4	5	5	455	loyal customers
17491	2	10	3214.52	5	5	5	555	champions
16997	289	3	702.0	1	3	3	133	at risk
14189	3	23	4293.069999999999	5	5	5	555	champions
14560	8	24	2174.1800000000003	5	5	5	555	champions
